CIM_Indication,,,,,,,,,,,,,,,,,Msvm_VirtualEthernetSwitchSettingDataComponent,,,,,,
CIM_Job,,,,,,,,,,,,,,,,,Msvm_VLANEndpoint,,,,,,
CIM_LANEndpoint,,,,,,,,,,,,,,,,,Msvm_WiFiDeviceSAPImplementation,,,,,,
CIM_LastAppliedSnapshot,,,,,,,,,,,,,,,,,Msvm_WiFiEndpoint,,,,,,
CIM_LogicalDevice,,,,,,,,,,,,,,,,,Msvm_WiFiPort,,,,,,
CIM_LogicalDisk,,,,,,,,,,,,,,,,,,,,,,,
CIM_LogicalElement,,,,,,,,,,,,,,,,,,,,,,,
CIM_LogicalIdentity,,,,,,,,,,,,,,,,,,,,,,,
CIM_LogicalPort,,,,,,,,,,,,,,,,,,,,,,,
CIM_ManagedElement,,,,,,,,,,,,,,,,,,,,,,,
CIM_ManagedSystemElement,,,,,,,,,,,,,,,,,,,,,,,
CIM_MediaAccessDevice,,,,,,,,,,,,,,,,,,,,,,,
CIM_MediaPresent,,,,,,,,,,,,,,,,,,,,,,,
CIM_MemberOfCollection,,,,,,,,,,,,,,,,,,,,,,,
CIM_Memory,,,,,,,,,,,,,,,,,,,,,,,
CIM_MetricDefForME,,,,,,,,,,,,,,,,,,,,,,,
CIM_MetricForME,,,,,,,,,,,,,,,,,,,,,,,
CIM_MetricInstance,,,,,,,,,,,,,,,,,,,,,,,
CIM_MetricService,,,,,,,,,,,,,,,,,,,,,,,
CIM_MetricServiceCapabilities,,,,,,,,,,,,,,,,,,,,,,,
CIM_MostCurrentSnapshotInBranch,,,,,,,,,,,,,,,,,,,,,,,
CIM_NetworkPort,,,,,,,,,,,,,,,,,,,,,,,
CIM_NetworkService,,,,,,,,,,,,,,,,,,,,,,,
CIM_OwningJobElement,,,,,,,,,,,,,,,,,,,,,,,
CIM_PointingDevice,,,,,,,,,,,,,,,,,,,,,,,
CIM_PortOnDevice,,,,,,,,,,,,,,,,,,,,,,,
CIM_ProcessIndication,,,,,,,,,,,,,,,,,,,,,,,
CIM_Processor,,,,,,,,,,,,,,,,,,,,,,,
CIM_ProtocolController,,,,,,,,,,,,,,,,,,,,,,,
CIM_ProtocolControllerForDevice,,,,,,,,,,,,,,,,,,,,,,,
CIM_ProtocolControllerForUnit,,,,,,,,,,,,,,,,,,,,,,,
CIM_ProtocolEndpoint,,,,,,,,,,,,,,,,,,,,,,,
CIM_ResourceAllocationFromPool,,,,,,,,,,,,,,,,,,,,,,,
CIM_ResourceAllocationSettingData,,,,,,,,,,,,,,,,,,,,,,,
CIM_ResourcePool,,,,,,,,,,,,,,,,,,,,,,,
CIM_ResourcePoolConfigurationCapabilities,,,,,,,,,,,,,,,,,,,,,,,
CIM_ResourcePoolConfigurationService,,,,,,,,,,,,,,,,,,,,,,,
CIM_SAPSAPDependency,,,,,,,,,,,,,,,,,,,,,,,
CIM_SCSIProtocolController,,,,,,,,,,,,,,,,,,,,,,,
CIM_SerialController,,,,,,,,,,,,,,,,,,,,,,,
CIM_Service,,,,,,,,,,,,,,,,,,,,,,,
CIM_ServiceAccessPoint,,,,,,,,,,,,,,,,,,,,,,,
CIM_ServiceAffectsElement,,,,,,,,,,,,,,,,,,,,,,,
CIM_ServiceComponent,,,,,,,,,,,,,,,,,,,,,,,
CIM_ServiceSAPDependency,,,,,,,,,,,,,,,,,,,,,,,
CIM_SettingData,,,,,,,,,,,,,,,,,,,,,,,
CIM_SettingsDefineCapabilities,,,,,,,,,,,,,,,,,,,,,,,
CIM_SettingsDefineState,,,,,,,,,,,,,,,,,,,,,,,
CIM_SnapshotOfVirtualSystem,,,,,,,,,,,,,,,,,,,,,,,
CIM_SoftwareElement,,,,,,,,,,,,,,,,,,,,,,,
CIM_StorageAllocationSettingData,,,,,,,,,,,,,,,,,,,,,,,
CIM_StorageExtent,,,,,,,,,,,,,,,,,,,,,,,
CIM_SwitchesAmong,,,,,,,,,,,,,,,,,,,,,,,
CIM_SwitchPort,,,,,,,,,,,,,,,,,,,,,,,
CIM_SwitchPortDynamicForwarding,,,,,,,,,,,,,,,,,,,,,,,
CIM_SwitchService,,,,,,,,,,,,,,,,,,,,,,,
CIM_SwitchServiceTransparentBridging,,,,,,,,,,,,,,,,,,,,,,,
CIM_System,,,,,,,,,,,,,,,,,,,,,,,
CIM_SystemBIOS,,,,,,,,,,,,,,,,,,,,,,,
CIM_SystemComponent,,,,,,,,,,,,,,,,,,,,,,,
CIM_SystemDevice,,,,,,,,,,,,,,,,,,,,,,,
CIM_TapeDrive,,,,,,,,,,,,,,,,,,,,,,,
CIM_TPM,,,,,,,,,,,,,,,,,,,,,,,
CIM_TransparentBridgingDynamicForwarding,,,,,,,,,,,,,,,,,,,,,,,
CIM_TransparentBridgingService,,,,,,,,,,,,,,,,,,,,,,,
CIM_USBDevice,,,,,,,,,,,,,,,,,,,,,,,
CIM_UserDevice,,,,,,,,,,,,,,,,,,,,,,,
CIM_VideoHead,,,,,,,,,,,,,,,,,,,,,,,
CIM_VideoHeadOnController,,,,,,,,,,,,,,,,,,,,,,,
CIM_View,,,,,,,,,,,,,,,,,,,,,,,
CIM_VirtualEthernetSwitchSettingData,,,,,,,,,,,,,,,,,,,,,,,
CIM_VirtualSystemManagementCapabilities,,,,,,,,,,,,,,,,,,,,,,,
CIM_VirtualSystemManagementService,,,,,,,,,,,,,,,,,,,,,,,
CIM_VirtualSystemMigrationCapabilities,,,,,,,,,,,,,,,,,,,,,,,
CIM_VirtualSystemMigrationService,,,,,,,,,,,,,,,,,,,,,,,
CIM_VirtualSystemMigrationSettingData,,,,,,,,,,,,,,,,,,,,,,,
CIM_VirtualSystemSettingData,,,,,,,,,,,,,,,,,,,,,,,
CIM_VirtualSystemSettingDataComponent,,,,,,,,,,,,,,,,,,,,,,,
CIM_VirtualSystemSnapshotService,,,,,,,,,,,,,,,,,,,,,,,
CIM_VLANEndpoint,,,,,,,,,,,,,,,,,,,,,,,
CIM_VLANEndpointSettingData,,,,,,,,,,,,,,,,,,,,,,,
CIM_WiFiEndpoint,,,,,,,,,,,,,,,,,,,,,,,
CIM_WiFiPort,,,,,,,,,,,,,,,,,,,,,,,
